case,distance_m,theta_x_deg,theta_y_deg,element_id,x_mm,y_mm,amplitude,phase_offset_deg
R0.8_x-15_y0,0.8,-15.0,0.0,U08,-35.097,8.011,0.859059,-33.437
R0.8_x-15_y0,0.8,-15.0,0.0,U09,-28.146,-22.446,1.000000,-16.923
R0.8_x-15_y0,0.8,-15.0,0.0,U10,-0.000,-36.000,0.499002,-41.073
R0.8_x-15_y0,0.8,-15.0,0.0,U11,28.146,-22.446,0.937334,-29.793
R0.8_x0_y15,0.8,0.0,15.0,U00,0.000,0.000,0.206944,22.820
R0.8_x0_y15,0.8,0.0,15.0,U01,14.280,10.958,0.596932,34.798
R0.8_x0_y15,0.8,0.0,15.0,U02,-10.958,14.280,0.699191,-18.940
R0.8_x0_y15,0.8,0.0,15.0,U03,-14.280,-10.958,0.612707,9.859
R0.8_x0_y15,0.8,0.0,15.0,U04,10.958,-14.280,0.215698,-42.005
R0.8_x0_y15,0.8,0.0,15.0,U05,35.097,8.011,0.766494,-5.064
R0.8_x0_y15,0.8,0.0,15.0,U06,15.620,32.435,0.897922,-6.941
R0.8_x0_y15,0.8,0.0,15.0,U07,-15.620,32.435,0.969509,-9.784
R0.8_x0_y15,0.8,0.0,15.0,U08,-35.097,8.011,0.563694,-3.657
R0.8_x0_y15,0.8,0.0,15.0,U09,-28.146,-22.446,0.826377,-26.826
R0.8_x0_y15,0.8,0.0,15.0,U10,-0.000,-36.000,0.790998,-12.837
R0.8_x0_y15,0.8,0.0,15.0,U11,28.146,-22.446,1.000000,-35.462
R1.0_x0_y0,1.0,0.0,0.0,U00,0.000,0.000,0.409365,-146.325
R1.0_x0_y0,1.0,0.0,0.0,U01,14.280,10.958,0.190339,51.684
R1.0_x0_y0,1.0,0.0,0.0,U02,-10.958,14.280,0.166393,52.457
R1.0_x0_y0,1.0,0.0,0.0,U03,-14.280,-10.958,0.149280,53.098
R1.0_x0_y0,1.0,0.0,0.0,U04,10.958,-14.280,0.173144,52.564
R1.0_x0_y0,1.0,0.0,0.0,U05,35.097,8.011,0.989178,57.304
R1.0_x0_y0,1.0,0.0,0.0,U06,15.620,32.435,0.993033,57.306
R1.0_x0_y0,1.0,0.0,0.0,U07,-15.620,32.435,0.994697,57.209
R1.0_x0_y0,1.0,0.0,0.0,U08,-35.097,8.011,0.995602,57.245
R1.0_x0_y0,1.0,0.0,0.0,U09,-28.146,-22.446,0.998685,57.076
R1.0_x0_y0,1.0,0.0,0.0,U10,-0.000,-36.000,0.991639,57.247
