rank,name,score,min_spacing_mm,center_radius_mm,width_centers_mm,height_centers_mm,recommended_unit_width_mm,worst_max_sidelobe_db,worst_p99_sidelobe_db
131,blue_noise_008,-6.774413,17.849199,52.138590,81.130451,90.870275,110.870275,-3.576510,-9.136866
132,blue_noise_065,-6.769115,17.853902,48.564900,88.413166,81.726078,108.413166,-3.425530,-9.553101
133,blue_noise_162,-6.739590,17.235398,46.393595,70.765687,70.186998,90.765687,-3.424864,-9.470646
134,blue_noise_093,-6.728679,17.204639,50.237290,79.472666,83.328785,103.328785,-3.377514,-9.574757
135,blue_noise_154,-6.674832,17.618904,48.398605,86.723196,75.177020,106.723196,-3.515405,-9.026934
136,blue_noise_053,-6.647685,20.697994,50.056851,87.744258,85.544129,107.744258,-3.538750,-8.882671
137,blue_noise_177,-6.645908,18.154830,50.449766,79.301100,83.062724,103.062724,-3.289142,-9.590762
138,blue_noise_193,-6.605291,18.278922,48.412362,88.904599,90.947195,110.947195,-3.255256,-9.571527
139,blue_noise_175,-6.588612,17.789454,44.852910,84.044191,69.316364,104.044191,-3.369531,-9.197375
140,blue_noise_091,-6.588611,18.451081,50.504640,66.722178,93.337072,113.337072,-3.221890,-9.619202
141,blue_noise_199,-6.582336,19.507989,48.661934,90.258378,79.879100,110.258378,-3.296983,-9.386722
142,blue_noise_049,-6.579253,18.474514,50.234965,81.109020,88.820235,108.820235,-3.368677,-9.173075
143,blue_noise_140,-6.574821,17.217452,47.530640,83.571540,83.092509,103.571540,-3.280325,-9.412845
144,blue_noise_102,-6.559308,17.783755,48.456563,72.465605,87.714197,107.714197,-3.126874,-9.806954
145,blue_noise_054,-6.550569,18.003685,46.017719,85.769684,75.216064,105.769684,-3.349928,-9.144688
146,blue_noise_072,-6.513352,17.562800,46.343982,65.667127,86.120112,106.120112,-3.137842,-9.644314
147,blue_noise_039,-6.467207,17.925286,46.892720,81.321201,81.751452,101.751452,-3.153280,-9.468361
148,blue_noise_156,-6.465672,17.436596,49.009159,90.251537,73.730897,110.251537,-3.143688,-9.491384
149,blue_noise_087,-6.459790,17.933090,49.544791,79.021744,88.381637,108.381637,-3.241581,-9.194883
150,blue_noise_172,-6.458149,17.549914,49.247311,94.315680,75.737353,114.315680,-3.073889,-9.669313
151,blue_noise_105,-6.453427,19.281640,48.012779,83.246740,83.120653,103.246740,-3.218743,-9.241952
152,blue_noise_070,-6.431775,19.358646,48.151127,82.286282,78.828151,102.286282,-3.132517,-9.426453
153,blue_noise_019,-6.428824,17.328821,49.161781,90.383259,75.039743,110.383259,-3.235323,-9.124287
154,blue_noise_180,-6.398128,18.269187,48.049252,78.152735,76.534902,98.152735,-3.351898,-8.703514
155,blue_noise_013,-6.363064,18.459275,53.498344,87.094320,94.311286,114.311286,-3.059299,-9.439329
156,blue_noise_133,-6.352218,17.990963,51.079877,70.382241,86.748558,106.748558,-3.125431,-9.219393
157,blue_noise_143,-6.343569,20.353611,43.518710,81.366872,77.758754,101.366872,-3.156263,-9.106588
158,blue_noise_183,-6.330165,17.564644,47.888830,87.895643,71.005857,107.895643,-2.942375,-9.679402
159,blue_noise_024,-6.329844,17.825542,47.791070,80.361376,86.265340,106.265340,-3.112172,-9.193349
160,blue_noise_055,-6.315493,17.747266,46.097966,82.010907,76.775361,102.010907,-3.153285,-9.034880
161,blue_noise_057,-6.306687,17.640565,51.877154,85.873604,72.208847,105.873604,-3.077742,-9.225558
162,blue_noise_142,-6.303323,17.498359,48.829530,83.423352,77.665766,103.423352,-2.968066,-9.529308
163,blue_noise_158,-6.298015,17.695973,50.256970,80.913686,94.198606,114.198606,-3.004004,-9.411460
164,blue_noise_075,-6.285899,19.672947,50.738600,95.971178,80.597532,115.971178,-3.042508,-9.266830
165,blue_noise_069,-6.272216,17.531667,50.811269,90.169872,90.628562,110.628562,-2.909306,-9.608314
166,blue_noise_150,-6.271824,17.633520,45.789688,55.408357,84.619617,104.619617,-3.045234,-9.218827
167,blue_noise_159,-6.267354,17.252128,50.363946,78.765018,80.834250,100.834250,-3.064341,-9.151467
168,blue_noise_088,-6.248221,18.477713,50.752772,85.817576,88.384817,108.384817,-2.935070,-9.466147
169,blue_noise_092,-6.243016,17.396515,47.417512,80.100227,66.733583,100.100227,-2.931443,-9.461639
170,blue_noise_110,-6.238934,17.578356,50.332370,74.871850,80.388416,100.388416,-3.076201,-9.036378
171,blue_noise_161,-6.237973,20.308519,49.432654,90.671609,87.949484,110.671609,-2.917872,-9.486003
172,blue_noise_036,-6.206800,17.438002,49.160194,74.293060,71.240693,94.293060,-2.831582,-9.643481
173,blue_noise_152,-6.192777,18.710514,51.471729,81.722231,88.247350,108.247350,-2.902944,-9.399523
174,blue_noise_192,-6.189243,17.408211,45.002765,83.349891,79.816510,103.349891,-3.003501,-9.102119
175,blue_noise_103,-6.169894,17.298223,49.126501,93.127669,65.926398,113.127669,-2.936809,-9.237386
176,blue_noise_040,-6.160164,18.916181,48.012935,80.755479,83.829030,103.829030,-2.947619,-9.178701
177,blue_noise_078,-6.153027,17.550724,46.708746,84.680266,82.480355,104.680266,-2.899663,-9.295325
178,blue_noise_167,-6.099996,17.777963,56.068044,70.819933,92.316771,112.316771,-2.787685,-9.463745
179,blue_noise_084,-6.080525,19.990216,47.254332,82.957638,89.119193,109.119193,-2.733901,-9.561781
180,blue_noise_073,-6.059662,17.934062,48.531722,86.416342,69.669770,106.416342,-2.839361,-9.200860
181,blue_noise_017,-6.042088,17.303593,43.237610,65.534550,80.573720,100.573720,-2.762426,-9.370463
182,blue_noise_185,-6.035128,17.805765,48.296487,85.342097,77.899716,105.342097,-2.807920,-9.220592
183,blue_noise_147,-6.034306,17.342025,50.036743,69.879712,76.299803,96.299803,-2.765636,-9.339057
184,blue_noise_052,-5.973281,17.246668,52.316107,70.557321,95.143607,115.143607,-2.721201,-9.291660
185,blue_noise_155,-5.962886,17.612352,49.038931,87.966237,71.234150,107.966237,-2.641923,-9.488464
186,blue_noise_023,-5.960707,17.655384,46.633602,87.081324,77.044382,107.081324,-2.730604,-9.228864
187,blue_noise_191,-5.958493,17.968740,52.063424,86.062718,89.704268,109.704268,-2.773266,-9.100650
188,blue_noise_198,-5.940392,18.480951,47.710520,85.207987,77.340173,105.207987,-2.640022,-9.429629
189,blue_noise_136,-5.916237,17.489722,48.709836,89.553875,79.020598,109.553875,-2.631849,-9.383966
190,blue_noise_076,-5.914885,17.268597,50.686960,89.861046,80.346400,109.861046,-2.647225,-9.336171
191,blue_noise_020,-5.901170,20.249751,47.969157,92.556807,88.738169,112.556807,-2.524397,-9.647924
192,blue_noise_181,-5.891535,19.185721,46.309511,77.881389,75.265315,97.881389,-2.608637,-9.379711
193,blue_noise_026,-5.766872,17.224080,50.426024,88.048514,93.362383,113.362383,-2.522393,-9.269939
194,blue_noise_109,-5.757305,18.635528,49.836865,70.076828,90.894930,110.894930,-2.508172,-9.283237
195,blue_noise_016,-5.756416,18.113516,56.000145,81.329574,83.218803,103.218803,-2.388846,-9.621629
196,blue_noise_171,-5.747996,17.330556,51.917522,97.958253,66.123245,117.958253,-2.660855,-8.820403
197,blue_noise_000,-5.740399,17.385952,49.323517,86.630532,87.008579,107.008579,-2.518575,-9.205209
198,blue_noise_187,-5.735304,17.594604,50.156401,74.423645,85.901934,105.901934,-2.476285,-9.311484
199,blue_noise_104,-5.712116,17.416983,46.618614,88.384004,75.828978,108.384004,-2.623733,-8.823950
200,blue_noise_018,-5.680322,18.784028,48.422199,83.225904,90.396555,110.396555,-2.439882,-9.258402
