case,distance_mm,theta_x_deg,theta_y_deg,element_id,x_mm,y_mm,rho_mm,amplitude,phase_deg
R200_x-15,200,-15.0,0.0,E14,-18.500,-32.040,36.997,0.848920,301.049
R200_x-15,200,-15.0,0.0,E15,6.420,-36.440,37.001,0.526662,32.691
R200_x-15,200,-15.0,0.0,E16,28.340,-23.780,36.995,0.369714,163.443
R200_x-15,200,-15.0,0.0,E17,58.000,0.000,58.000,0.181166,31.887
R200_x-15,200,-15.0,0.0,E18,52.990,23.590,58.004,0.175904,80.977
R200_x-15,200,-15.0,0.0,E19,38.810,43.100,57.999,0.231183,221.523
R200_x-15,200,-15.0,0.0,E20,17.920,55.160,57.998,0.323937,72.524
R200_x-15,200,-15.0,0.0,E21,-6.060,57.680,57.997,0.450099,321.054
R200_x-15,200,-15.0,0.0,E22,-29.000,50.230,58.000,0.649232,205.616
R200_x-15,200,-15.0,0.0,E23,-46.920,34.090,57.997,0.881915,41.785
R200_x-15,200,-15.0,0.0,E24,-56.730,12.060,57.998,1.000000,151.140
R200_x-15,200,-15.0,0.0,E25,-56.730,-12.060,57.998,1.000000,151.140
R200_x-15,200,-15.0,0.0,E26,-46.920,-34.090,57.997,0.881915,41.785
R200_x-15,200,-15.0,0.0,E27,-29.000,-50.230,58.000,0.649232,205.616
R200_x-15,200,-15.0,0.0,E28,-6.060,-57.680,57.997,0.450099,321.054
R200_x-15,200,-15.0,0.0,E29,17.920,-55.160,57.998,0.323937,72.524
R200_x-15,200,-15.0,0.0,E30,38.810,-43.100,57.999,0.231183,221.523
R200_x-15,200,-15.0,0.0,E31,52.990,-23.590,58.004,0.175904,80.977
R200_x15,200,15.0,0.0,E00,0.000,0.000,0.000,0.800764,243.499
R200_x15,200,15.0,0.0,E01,19.500,0.000,19.500,1.000000,57.272
R200_x15,200,15.0,0.0,E02,12.160,15.250,19.505,0.967096,336.211
R200_x15,200,15.0,0.0,E03,-4.340,19.010,19.499,0.675358,156.881
R200_x15,200,15.0,0.0,E04,-17.570,8.460,19.501,0.529188,15.761
R200_x15,200,15.0,0.0,E05,-17.570,-8.460,19.501,0.529188,15.761
R200_x15,200,15.0,0.0,E06,-4.340,-19.010,19.499,0.675358,156.881
R200_x15,200,15.0,0.0,E07,12.160,-15.250,19.505,0.967096,336.211
R200_x15,200,15.0,0.0,E08,37.000,0.000,37.000,1.000000,145.953
R200_x15,200,15.0,0.0,E09,28.340,23.780,36.995,1.000000,49.429
R200_x15,200,15.0,0.0,E10,6.420,36.440,37.001,0.661307,169.886
R200_x15,200,15.0,0.0,E11,-18.500,32.040,36.997,0.416521,265.613
R200_x15,200,15.0,0.0,E12,-34.770,12.650,37.000,0.321479,97.270
R200_x15,200,15.0,0.0,E13,-34.770,-12.650,37.000,0.321479,97.270
R200_x15,200,15.0,0.0,E14,-18.500,-32.040,36.997,0.416521,265.613
R200_x15,200,15.0,0.0,E15,6.420,-36.440,37.001,0.661307,169.886
R200_x15,200,15.0,0.0,E16,28.340,-23.780,36.995,1.000000,49.429
R200_x15,200,15.0,0.0,E17,58.000,0.000,58.000,1.000000,165.378
R200_x15,200,15.0,0.0,E18,52.990,23.590,58.004,1.000000,109.197
R200_x15,200,15.0,0.0,E19,38.810,43.100,57.999,0.746496,312.431
R200_x15,200,15.0,0.0,E20,17.920,55.160,57.998,0.527172,86.633
R200_x15,200,15.0,0.0,E21,-6.060,57.680,57.997,0.371986,194.567
R200_x15,200,15.0,0.0,E22,-29.000,50.230,58.000,0.258486,319.971
R200_x15,200,15.0,0.0,E23,-46.920,34.090,57.997,0.203250,140.931
R200_x15,200,15.0,0.0,E24,-56.730,12.060,57.998,0.184132,44.342
R200_x15,200,15.0,0.0,E25,-56.730,-12.060,57.998,0.184132,44.342
R200_x15,200,15.0,0.0,E26,-46.920,-34.090,57.997,0.203250,140.931
R200_x15,200,15.0,0.0,E27,-29.000,-50.230,58.000,0.258486,319.971
R200_x15,200,15.0,0.0,E28,-6.060,-57.680,57.997,0.371986,194.567
R200_x15,200,15.0,0.0,E29,17.920,-55.160,57.998,0.527172,86.633
R200_x15,200,15.0,0.0,E30,38.810,-43.100,57.999,0.746496,312.431
R200_x15,200,15.0,0.0,E31,52.990,-23.590,58.004,1.000000,109.197
R300_x-15,300,-15.0,0.0,E00,0.000,0.000,0.000,0.747552,5.248
R300_x-15,300,-15.0,0.0,E01,19.500,0.000,19.500,0.512192,128.973
R300_x-15,300,-15.0,0.0,E02,12.160,15.250,19.505,0.555156,207.488
R300_x-15,300,-15.0,0.0,E03,-4.340,19.010,19.499,0.809660,25.818
R300_x-15,300,-15.0,0.0,E04,-17.570,8.460,19.501,0.963514,170.639
R300_x-15,300,-15.0,0.0,E05,-17.570,-8.460,19.501,0.963514,170.639
R300_x-15,300,-15.0,0.0,E06,-4.340,-19.010,19.499,0.809660,25.818
R300_x-15,300,-15.0,0.0,E07,12.160,-15.250,19.505,0.555156,207.488
R300_x-15,300,-15.0,0.0,E08,37.000,0.000,37.000,0.429360,236.888
R300_x-15,300,-15.0,0.0,E09,28.340,23.780,36.995,0.446483,327.814
R300_x-15,300,-15.0,0.0,E10,6.420,36.440,37.001,0.615913,200.767
R300_x-15,300,-15.0,0.0,E11,-18.500,32.040,36.997,0.878709,110.933
R300_x-15,300,-15.0,0.0,E12,-34.770,12.650,37.000,0.887650,290.496
R300_x-15,300,-15.0,0.0,E13,-34.770,-12.650,37.000,0.887650,290.496
R300_x-15,300,-15.0,0.0,E14,-18.500,-32.040,36.997,0.878709,110.933
R300_x-15,300,-15.0,0.0,E15,6.420,-36.440,37.001,0.615913,200.767
R300_x-15,300,-15.0,0.0,E16,28.340,-23.780,36.995,0.446483,327.814
R300_x-15,300,-15.0,0.0,E17,58.000,0.000,58.000,0.340634,247.507
R300_x-15,300,-15.0,0.0,E18,52.990,23.590,58.004,0.318731,298.619
R300_x-15,300,-15.0,0.0,E19,38.810,43.100,57.999,0.338112,84.474
R300_x-15,300,-15.0,0.0,E20,17.920,55.160,57.998,0.428934,302.269
