z_mm,angle_deg,x_mm,method,pressure_psl_db,audio_proxy_psl_db,pressure_p99_5_db,focus_error_mm,fwhm_x_mm,fwhm_y_mm,target_gain_vs_onaxis200_db,target_amp
80,15,21.435935394489814,phase_only,-4.960234042069416,-9.920468084138832,-8.077217558932036,1.4142135623730976,8.509529971824232,8.437347612385782,-0.16471572108347954,124.85947167959333
80,15,21.435935394489814,rls_amp,-9.370434226379952,-18.740868452759905,-10.778563536183276,1.4142135623730976,10.430753891921901,10.376332940495397,-3.018065792453962,89.8988196093145
100,0,0.0,phase_only,-7.8010616948437725,-15.602123389687545,-10.011674399491554,1.4142135623730951,9.078126319867255,9.078150121343757,1.3088181841015445,147.9442832752958
100,0,0.0,rls_amp,-10.283537093940168,-20.567074187880337,-11.646790315779082,1.4142135623730951,11.190179075314795,11.156630045380712,-1.5445318872695242,106.51988395822104
100,10,17.632698070846498,phase_only,-6.502978903547719,-13.005957807095438,-9.107714688644208,1.4142135623730976,9.434343637999078,9.054262851758487,0.771732437967479,139.07334514678328
100,10,17.632698070846498,rls_amp,-9.821974981752575,-19.64394996350515,-11.57784038387911,1.4142135623730976,11.130516527830089,11.092793475572948,-2.0816176334042993,100.13280850568123
100,15,26.794919243112272,phase_only,-5.952652939858796,-11.905305879717591,-8.061100027335003,1.4142135623730976,9.677453682125662,9.101235220441197,0.05473418497733488,128.05424746263597
100,15,26.794919243112272,rls_amp,-9.475076668608986,-18.950153337217973,-11.429455723400144,1.4142135623730976,11.094745728273402,11.032583696420623,-2.798615886395686,92.19905817307938
120,0,0.0,phase_only,-8.926828189271331,-17.853656378542663,-10.550317222865882,1.4142135623730951,9.982589088814297,9.98265512293094,1.461397938922845,150.56609119929936
120,0,0.0,rls_amp,-10.563873530222121,-21.127747060444243,-12.005856361296567,1.4142135623730951,11.92744561754656,11.886068453961744,-1.3919521324570447,108.4075856633943
